school,conference,song_name,writers,year,student_writer,official_song,bpm,sec_duration,fight,number_fights,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,rank,
Indiana,Big Ten,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912,Yes,Yes,150,63,Yes,1,No,No,No,Yes,No,No,Yes,3,76,
Iowa,Big Ten,Iowa Fight Song,Meredith Willson,1950,No,Yes,150,72,Yes,9,Yes,Yes,No,No,No,No,No,3,26,
Maryland,Big Ten,Maryland Fight Song,Ralph Davis,1939,Yes,Yes,142,56,Yes,8,Yes,No,No,No,No,No,No,3,35,
Michigan,Big Ten,The Victors,Louis Elbel,1898,Yes,Yes,83,122,No,0,No,No,No,No,No,No,No,0,4,
Michigan State,Big Ten,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915,Yes,Yes,145,112,Yes,6,Yes,Yes,No,Yes,No,No,Yes,5,18,
Minnesota,Big Ten,The Minnesota Rouser,Floyd Hutsell,1909,No,Yes,151,60,No,0,No,Yes,Yes,No,No,No,Yes,3,36,
Nebraska,Big Ten,Dear Old Nebraska U.,Harry Pecha,1924,Yes,No,136,94,No,0,No,No,No,No,Yes,No,No,1,8,
Northwestern,Big Ten,Go! U Northwestern,Theodore C. Van Etten,1912,Yes,Yes,140,57,Yes,1,Yes,Yes,No,No,No,No,No,4,53,
Ohio State,Big Ten,Buckeye Battle Cry,Frank Crumit,1919,No,Yes,178,89,Yes,1,Yes,No,No,Yes,Yes,No,No,5,3,
Penn State,Big Ten,"Fight On, State",Joseph Sanders,1933,No,Yes,145,81,Yes,5,Yes,No,No,Yes,No,No,Yes,5,9,
Purdue,Big Ten,Hail Purdue,James R. Morrison and Edward S. Wotawa,1912,Yes,Yes,160,86,No,0,Yes,No,No,Yes,No,No,No,2,44,
Rutgers,Big Ten,The Bells Must Ring,Richard Hadden and W.E. Sanford,1931,Yes,Yes,75,74,Yes,10,Yes,Yes,Yes,Yes,Yes,No,Yes,8,86,
